"AlbumID","Title","BandID","ReleaseDate"
1,"Leisure",1,"1991-08-26 00:00:00.000"
2,"Definitely Maybe",2,"1994-08-30 00:00:00.000"
3,"Employment",3,"2005-05-07 00:00:00.000"
4,"The Back Room",4,"2005-07-25 00:00:00.000"
5,"Up The Bracket",5,"2002-10-14 00:00:00.000"
6,"Hybrid Theory",6,"2000-10-24 00:00:00.000"
7,"Fuzzy Logic",9,"1996-05-20 00:00:00.000"
8,"Generation Terrorists",10,"1992-02-10 00:00:00.000"
9,"Word Gets Around",11,"1997-08-25 00:00:00.000"
10,"The Stone Roses",12,"1989-03-01 00:00:00.000"
14,"Whatever People Say I Am Thats What Im Not",14,"2006-01-23 00:00:00.000"
15,"Vampire Weekend",15,"2008-01-29 00:00:00.000"
16,"Lost Souls",16,"2000-04-03 00:00:00.000"
17,"Dandys Rule OK",17,"1995-04-06 00:00:00.000"
18,"Franz Ferdinand",18,"2004-02-09 00:00:00.000"
19,"The Decline of British Sea Power",19,"2003-06-02 00:00:00.000"
20,"Showbiz",20,"1999-10-04 00:00:00.000"
21,"Pablo Honey",21,"1993-02-22 00:00:00.000"
22,"Parachutes",22,"2000-07-10 00:00:00.000"
23,"Bleach",24,"1989-06-15 00:00:00.000"
24,"Ten",25,"1991-08-27 00:00:00.000"
25,"Blackened Sky",28,"2002-03-10 00:00:00.000"
26,"Hot Fuzz",30,"2004-06-07 00:00:00.000"
27,"Is This It",31,"2001-07-30 00:00:00.000"
28,"Kasabian",32,"2004-09-13 00:00:00.000"
29,"Youth and Young Manhood",35,"2003-07-07 00:00:00.000"
30,"Queens of the Stone Age",36,"1998-09-22 00:00:00.000"
31,"B.M.R.C",37,"2001-04-03 00:00:00.000"
32,"Get Born",38,"2003-10-07 00:00:00.000"
33,"Psychocandy",39,"1985-11-01 00:00:00.000"
34,"Smile",40,"1990-07-01 00:00:00.000"
36,"A Storm in Heaven",42,"1993-06-21 00:00:00.000"
37,"Appetite for Destruction",43,"1987-07-21 00:00:00.000"
38,"The Smiths",44,"1984-02-20 00:00:00.000"
40,"39/Smooth",46,"1990-04-13 00:00:00.000"
41,"Cheshire Cat",47,"1994-02-17 00:00:00.000"
42,"The Good Will Out",48,"1998-07-28 00:00:00.000"
43,"Murmur",49,"1983-04-13 00:00:00.000"
44,"Boy",50,"1980-10-20 00:00:00.000"
45,"Surfer Rosa",51,"1988-03-21 00:00:00.000"
46,"Ocean Colour Scene",52,"1992-03-01 00:00:00.000"
47,"Songs About Jane",53,"2002-06-25 00:00:00.000"
48,"Hopes and Fears",54,"2004-05-10 00:00:00.000"
49,"Polythene",55,"1997-05-19 00:00:00.000"
50,"I Should Coco",56,"1995-05-15 00:00:00.000"
51,"Placebo",57,"1996-07-16 00:00:00.000"
52,"The Red Hot Chili Peppers",58,"1984-08-10 00:00:00.000"
53,"Nothing's Shocking",59,"1988-08-23 00:00:00.000"
54,"Suede",60,"1993-03-29 00:00:00.000"
55,"Songs for Polarbears",61,"1998-08-31 00:00:00.000"
