"BandID","Band"
1,"Blur"
2,"Oasis"
3,"Kaiser Chiefs"
4,"Editors"
5,"The Libertines"
6,"Linkin Park"
9,"Super Furry Animals"
10,"Manic Street Preachers"
11,"The Stereophonics"
12,"The Stone Roses"
14,"Arctic Monkeys"
15,"Vampire Weekend"
16,"Doves"
17,"The Dandy Warhols"
18,"Franz Ferdinand"
19,"British Sea Power"
20,"Muse"
21,"Radiohead"
22,"Coldplay"
24,"Nirvana"
25,"Pearl Jam"
28,"Biffy Clyro"
30,"The Killers"
31,"The Strokes"
32,"Kasabian"
35,"Kings of Leon"
36,"Queens of the Stoneage"
37,"Black Rebel Motocycle Club"
38,"Jet"
39,"The Jesus And Mary Chain"
40,"Ride"
42,"The Verve"
43,"Guns and Roses"
44,"The Smiths"
46,"Green Day"
47,"Blink 182"
48,"Embrace"
49,"R.E.M."
50,"U2"
51,"The Pixies"
52,"Ocean Colour Scene"
53,"Maroon 5"
54,"Keane"
55,"Feeder"
56,"Supergrass"
57,"Placebo"
58,"Red Hot Chili Peppers"
59,"Janes Addiction"
60,"Suede"
61,"Snow Patrol"
