Title,ReleaseDate,FirstName,LastName,DateOfBirth,Band
Leisure,1991-08-26 00:00:00.000,Damon,Albarn,1968-03-23 00:00:00.000,Blur
Leisure,1991-08-26 00:00:00.000,Graham,Coxon,1969-03-12 00:00:00.000,Blur
Leisure,1991-08-26 00:00:00.000,Alex,James,1968-11-21 00:00:00.000,Blur
Leisure,1991-08-26 00:00:00.000,Dave,Rowntree,1964-05-08 00:00:00.000,Blur
Definitely Maybe,1994-08-30 00:00:00.000,Liam,Gallagher,1972-09-21 00:00:00.000,Oasis
Definitely Maybe,1994-08-30 00:00:00.000,Noel,Gallagher,1967-05-29 00:00:00.000,Oasis
Definitely Maybe,1994-08-30 00:00:00.000,Paul,Arthurs,1965-06-23 00:00:00.000,Oasis
Definitely Maybe,1994-08-30 00:00:00.000,Paul,McGuigan,1971-05-09 00:00:00.000,Oasis
Definitely Maybe,1994-08-30 00:00:00.000,Tony,McCarroll,1972-06-27 00:00:00.000,Oasis
Employment,2005-05-07 00:00:00.000,Ricky,Wilson,1978-01-17 00:00:00.000,Kaiser Chiefs
Employment,2005-05-07 00:00:00.000,Nick,Hodgson,1977-10-20 00:00:00.000,Kaiser Chiefs
Employment,2005-05-07 00:00:00.000,Andrew,White,1974-08-28 00:00:00.000,Kaiser Chiefs
Employment,2005-05-07 00:00:00.000,Simon,Rix,1977-10-18 00:00:00.000,Kaiser Chiefs
Employment,2005-05-07 00:00:00.000,Nick,Baines,1978-03-21 00:00:00.000,Kaiser Chiefs
The Back Room,2005-07-25 00:00:00.000,Tom,Smith,1981-04-29 00:00:00.000,Editors
The Back Room,2005-07-25 00:00:00.000,Chris,Urbanowicz,1981-06-22 00:00:00.000,Editors
The Back Room,2005-07-25 00:00:00.000,Russell,Leetch,1982-03-05 00:00:00.000,Editors
The Back Room,2005-07-25 00:00:00.000,Edward,Lay,NA,Editors
Up The Bracket,2002-10-14 00:00:00.000,Carl,Barat,1978-06-06 00:00:00.000,The Libertines
Up The Bracket,2002-10-14 00:00:00.000,Pete,Doherty,1979-03-12 00:00:00.000,The Libertines
Up The Bracket,2002-10-14 00:00:00.000,John,Hassall,1981-02-17 00:00:00.000,The Libertines
Up The Bracket,2002-10-14 00:00:00.000,Gary,Powell,1969-11-11 00:00:00.000,The Libertines
Hybrid Theory,2000-10-24 00:00:00.000,Rob,Bourdon,NA,Linkin Park
Hybrid Theory,2000-10-24 00:00:00.000,Brad,Delson,1977-12-01 00:00:00.000,Linkin Park
Hybrid Theory,2000-10-24 00:00:00.000,Dave,Farrell,NA,Linkin Park
Hybrid Theory,2000-10-24 00:00:00.000,Joe,Hahn,1977-03-15 00:00:00.000,Linkin Park
Hybrid Theory,2000-10-24 00:00:00.000,Mike,Shinoda,1977-02-11 00:00:00.000,Linkin Park
Hybrid Theory,2000-10-24 00:00:00.000,Chester,Bennington,1976-03-20 00:00:00.000,Linkin Park
Fuzzy Logic,1996-05-20 00:00:00.000,Gruff,Rhys,1970-07-18 00:00:00.000,Super Furry Animals
Fuzzy Logic,1996-05-20 00:00:00.000,Huw,Bunford,1967-09-15 00:00:00.000,Super Furry Animals
Fuzzy Logic,1996-05-20 00:00:00.000,Guto,Pryce,1972-09-04 00:00:00.000,Super Furry Animals
Fuzzy Logic,1996-05-20 00:00:00.000,Cian,Ciaran,1976-06-16 00:00:00.000,Super Furry Animals
Fuzzy Logic,1996-05-20 00:00:00.000,Dafydd,Ieuan,1969-03-01 00:00:00.000,Super Furry Animals
Generation Terrorists,1992-02-10 00:00:00.000,James Dean,Bradfield,1969-02-21 00:00:00.000,Manic Street Preachers
Generation Terrorists,1992-02-10 00:00:00.000,Nicky,Wire,1969-01-20 00:00:00.000,Manic Street Preachers
Generation Terrorists,1992-02-10 00:00:00.000,Sean,Moore,NA,Manic Street Preachers
Generation Terrorists,1992-02-10 00:00:00.000,Richey,Edwards,1967-12-22 00:00:00.000,Manic Street Preachers
Word Gets Around,1997-08-25 00:00:00.000,Kelly,Jones,1974-06-03 00:00:00.000,The Stereophonics
Word Gets Around,1997-08-25 00:00:00.000,Richard,Jones,1974-05-23 00:00:00.000,The Stereophonics
Word Gets Around,1997-08-25 00:00:00.000,Stuart,Cable,1970-05-19 00:00:00.000,The Stereophonics
The Stone Roses,1989-03-01 00:00:00.000,Ian,Brown,1963-02-20 00:00:00.000,The Stone Roses
The Stone Roses,1989-03-01 00:00:00.000,John,Squire,1962-11-24 00:00:00.000,The Stone Roses
The Stone Roses,1989-03-01 00:00:00.000,Mani,Mounfield,1962-11-16 00:00:00.000,The Stone Roses
The Stone Roses,1989-03-01 00:00:00.000,Alan,Wren,1964-04-10 00:00:00.000,The Stone Roses
Whatever People Say I Am Thats What Im Not,2006-01-23 00:00:00.000,Alex,Turner,1986-01-06 00:00:00.000,Arctic Monkeys
Whatever People Say I Am Thats What Im Not,2006-01-23 00:00:00.000,Jamie,Cook,1985-07-08 00:00:00.000,Arctic Monkeys
Whatever People Say I Am Thats What Im Not,2006-01-23 00:00:00.000,Matt,Helders,1986-05-07 00:00:00.000,Arctic Monkeys
Whatever People Say I Am Thats What Im Not,2006-01-23 00:00:00.000,Nick,O'Malley,1985-07-05 00:00:00.000,Arctic Monkeys
Vampire Weekend,2008-01-29 00:00:00.000,Ezro,Koenig,1984-04-08 00:00:00.000,Vampire Weekend
Vampire Weekend,2008-01-29 00:00:00.000,Rostam,Batmanglij,1983-11-28 00:00:00.000,Vampire Weekend
Vampire Weekend,2008-01-29 00:00:00.000,Chris,Tomson,1984-03-06 00:00:00.000,Vampire Weekend
Vampire Weekend,2008-01-29 00:00:00.000,Chris,Baio,1984-10-29 00:00:00.000,Vampire Weekend
Lost Souls,2000-04-03 00:00:00.000,Jez,Williams,1970-02-18 00:00:00.000,Doves
Lost Souls,2000-04-03 00:00:00.000,Jimi,Goodwin,1970-05-28 00:00:00.000,Doves
Lost Souls,2000-04-03 00:00:00.000,Andy,Williams,1970-02-18 00:00:00.000,Doves
Dandys Rule OK,1995-04-06 00:00:00.000,Courtney,Taylor-Taylor,1967-06-20 00:00:00.000,The Dandy Warhols
Dandys Rule OK,1995-04-06 00:00:00.000,Peter,Holmstrom,NA,The Dandy Warhols
Dandys Rule OK,1995-04-06 00:00:00.000,Zia,McCabe,1975-06-02 00:00:00.000,The Dandy Warhols
Dandys Rule OK,1995-04-06 00:00:00.000,Brent,DeBoer,NA,The Dandy Warhols
Franz Ferdinand,2004-02-09 00:00:00.000,Alex,Kapranos,1972-03-20 00:00:00.000,Franz Ferdinand
Franz Ferdinand,2004-02-09 00:00:00.000,Nicholas,McCarthy,1974-12-13 00:00:00.000,Franz Ferdinand
Franz Ferdinand,2004-02-09 00:00:00.000,Robert,Hardy,1980-08-16 00:00:00.000,Franz Ferdinand
Franz Ferdinand,2004-02-09 00:00:00.000,Paul,Thomson,1976-09-15 00:00:00.000,Franz Ferdinand
The Decline of British Sea Power,2003-06-02 00:00:00.000,Scott,Wilkinson,NA,British Sea Power
The Decline of British Sea Power,2003-06-02 00:00:00.000,Martin,Noble,1986-01-28 00:00:00.000,British Sea Power
The Decline of British Sea Power,2003-06-02 00:00:00.000,Neil,Wilkinson,1979-06-08 00:00:00.000,British Sea Power
The Decline of British Sea Power,2003-06-02 00:00:00.000,Matthew,Wood,1979-11-28 00:00:00.000,British Sea Power
Showbiz,1999-10-04 00:00:00.000,Matthew,Bellamy,1978-06-09 00:00:00.000,Muse
Showbiz,1999-10-04 00:00:00.000,Christopher,Wolstenholme,1978-12-02 00:00:00.000,Muse
Showbiz,1999-10-04 00:00:00.000,Dominic,Howard,1977-12-07 00:00:00.000,Muse
Pablo Honey,1993-02-22 00:00:00.000,Thom,Yorke,1968-10-07 00:00:00.000,Radiohead
Pablo Honey,1993-02-22 00:00:00.000,Jonny,Greenwood,1971-12-05 00:00:00.000,Radiohead
Pablo Honey,1993-02-22 00:00:00.000,Colin,Greenwood,1969-06-26 00:00:00.000,Radiohead
Pablo Honey,1993-02-22 00:00:00.000,Ed,O'Brien,1968-04-15 00:00:00.000,Radiohead
Pablo Honey,1993-02-22 00:00:00.000,Phil,Selway,1967-05-23 00:00:00.000,Radiohead
Parachutes,2000-07-10 00:00:00.000,Chris,Martin,1977-03-02 00:00:00.000,Coldplay
Parachutes,2000-07-10 00:00:00.000,Jonny,Buckland,1977-09-11 00:00:00.000,Coldplay
Parachutes,2000-07-10 00:00:00.000,Guy,Berryman,1978-04-12 00:00:00.000,Coldplay
Parachutes,2000-07-10 00:00:00.000,Will,Champion,1978-07-31 00:00:00.000,Coldplay
Bleach,1989-06-15 00:00:00.000,Kurt,Cobain,1967-02-20 00:00:00.000,Nirvana
Bleach,1989-06-15 00:00:00.000,Krist,Novoselic,1965-05-16 00:00:00.000,Nirvana
Bleach,1989-06-15 00:00:00.000,Dave,Grohl,1969-01-14 00:00:00.000,Nirvana
Ten,1991-08-27 00:00:00.000,Eddie,Vedder,1964-12-23 00:00:00.000,Pearl Jam
Ten,1991-08-27 00:00:00.000,Jeff,Ament,1963-03-10 00:00:00.000,Pearl Jam
Ten,1991-08-27 00:00:00.000,Stone,Gossard,1966-07-20 00:00:00.000,Pearl Jam
Ten,1991-08-27 00:00:00.000,Mike,McCready,1966-04-05 00:00:00.000,Pearl Jam
Ten,1991-08-27 00:00:00.000,Dave,Krusen,1966-03-10 00:00:00.000,Pearl Jam
Blackened Sky,2002-03-10 00:00:00.000,Simon,Neil,1979-08-31 00:00:00.000,Biffy Clyro
Blackened Sky,2002-03-10 00:00:00.000,James,Johnston,1980-04-25 00:00:00.000,Biffy Clyro
Blackened Sky,2002-03-10 00:00:00.000,Ben,Johnston,1980-04-25 00:00:00.000,Biffy Clyro
Hot Fuzz,2004-06-07 00:00:00.000,Brandon,Flowers,1981-06-21 00:00:00.000,The Killers
Hot Fuzz,2004-06-07 00:00:00.000,Dave,Keuning,1976-03-28 00:00:00.000,The Killers
Hot Fuzz,2004-06-07 00:00:00.000,Martin,Stoermer,1977-06-28 00:00:00.000,The Killers
Hot Fuzz,2004-06-07 00:00:00.000,Ronnie,Vannucci,1976-02-15 00:00:00.000,The Killers
Is This It,2001-07-30 00:00:00.000,Julian,Casablancas,1978-08-23 00:00:00.000,The Strokes
Is This It,2001-07-30 00:00:00.000,Nick,Valensi,1981-01-16 00:00:00.000,The Strokes
Is This It,2001-07-30 00:00:00.000,Albert,Hammond,1980-04-09 00:00:00.000,The Strokes
Is This It,2001-07-30 00:00:00.000,Nikolai,Fraiture,1978-11-13 00:00:00.000,The Strokes
Is This It,2001-07-30 00:00:00.000,Fabrizio,Moretti,1980-06-02 00:00:00.000,The Strokes
Kasabian,2004-09-13 00:00:00.000,Tom,Meighan,1981-01-11 00:00:00.000,Kasabian
Kasabian,2004-09-13 00:00:00.000,Christopher,Karloff,NA,Kasabian
Kasabian,2004-09-13 00:00:00.000,Sergio,Pizzorno,1980-12-15 00:00:00.000,Kasabian
Kasabian,2004-09-13 00:00:00.000,Chris,Edwards,1980-12-20 00:00:00.000,Kasabian
Youth and Young Manhood,2003-07-07 00:00:00.000,Caleb,Followill,1982-01-14 00:00:00.000,Kings of Leon
Youth and Young Manhood,2003-07-07 00:00:00.000,Nathan,Followill,1979-06-26 00:00:00.000,Kings of Leon
Youth and Young Manhood,2003-07-07 00:00:00.000,Jared,Followill,1986-11-20 00:00:00.000,Kings of Leon
Youth and Young Manhood,2003-07-07 00:00:00.000,Matthew,Followill,1984-09-10 00:00:00.000,Kings of Leon
Queens of the Stone Age,1998-09-22 00:00:00.000,Josh,Homme,1973-05-17 00:00:00.000,Queens of the Stoneage
Queens of the Stone Age,1998-09-22 00:00:00.000,Troy Dean,Van Leeuwen,1968-01-05 00:00:00.000,Queens of the Stoneage
Queens of the Stone Age,1998-09-22 00:00:00.000,Joey,Castillo,1966-03-30 00:00:00.000,Queens of the Stoneage
Queens of the Stone Age,1998-09-22 00:00:00.000,Dean,Fertita,1970-07-06 00:00:00.000,Queens of the Stoneage
B.M.R.C,2001-04-03 00:00:00.000,Nick,Jago,1977-07-19 00:00:00.000,Black Rebel Motocycle Club
B.M.R.C,2001-04-03 00:00:00.000,Peter,Hayes,1976-02-11 00:00:00.000,Black Rebel Motocycle Club
B.M.R.C,2001-04-03 00:00:00.000,Robert,Been,1978-08-22 00:00:00.000,Black Rebel Motocycle Club
Get Born,2003-10-07 00:00:00.000,Nick,Cester,1979-07-06 00:00:00.000,Jet
Get Born,2003-10-07 00:00:00.000,Chris,Cester,1981-09-16 00:00:00.000,Jet
Get Born,2003-10-07 00:00:00.000,Cameron,Muncey,1980-02-04 00:00:00.000,Jet
Psychocandy,1985-11-01 00:00:00.000,Jim,Reid,1961-12-29 00:00:00.000,The Jesus And Mary Chain
