"BandID","FirstName","LastName","DateOfBirth"
1,"Damon","Albarn","1968-03-23 00:00:00.000"
1,"Graham","Coxon","1969-03-12 00:00:00.000"
1,"Alex","James","1968-11-21 00:00:00.000"
1,"Dave","Rowntree","1964-05-08 00:00:00.000"
2,"Liam","Gallagher","1972-09-21 00:00:00.000"
2,"Noel","Gallagher","1967-05-29 00:00:00.000"
2,"Paul","Arthurs","1965-06-23 00:00:00.000"
2,"Paul","McGuigan","1971-05-09 00:00:00.000"
2,"Tony","McCarroll","1972-06-27 00:00:00.000"
3,"Ricky","Wilson","1978-01-17 00:00:00.000"
3,"Nick","Hodgson","1977-10-20 00:00:00.000"
3,"Andrew","White","1974-08-28 00:00:00.000"
3,"Simon","Rix","1977-10-18 00:00:00.000"
3,"Nick","Baines","1978-03-21 00:00:00.000"
4,"Tom","Smith","1981-04-29 00:00:00.000"
4,"Chris","Urbanowicz","1981-06-22 00:00:00.000"
4,"Russell","Leetch","1982-03-05 00:00:00.000"
4,"Edward","Lay","NULL"
5,"Carl","Barat","1978-06-06 00:00:00.000"
5,"Pete","Doherty","1979-03-12 00:00:00.000"
5,"John","Hassall","1981-02-17 00:00:00.000"
5,"Gary","Powell","1969-11-11 00:00:00.000"
6,"Rob","Bourdon","NULL"
6,"Brad","Delson","1977-12-01 00:00:00.000"
6,"Dave","Farrell","NULL"
6,"Joe","Hahn","1977-03-15 00:00:00.000"
6,"Mike","Shinoda","1977-02-11 00:00:00.000"
6,"Chester","Bennington","1976-03-20 00:00:00.000"
9,"Gruff","Rhys","1970-07-18 00:00:00.000"
9,"Huw","Bunford","1967-09-15 00:00:00.000"
9,"Guto","Pryce","1972-09-04 00:00:00.000"
9,"Cian","Ciaran","1976-06-16 00:00:00.000"
9,"Dafydd","Ieuan","1969-03-01 00:00:00.000"
10,"James Dean","Bradfield","1969-02-21 00:00:00.000"
10,"Nicky","Wire","1969-01-20 00:00:00.000"
10,"Sean","Moore","NULL"
10,"Richey","Edwards","1967-12-22 00:00:00.000"
11,"Kelly","Jones","1974-06-03 00:00:00.000"
11,"Richard","Jones","1974-05-23 00:00:00.000"
11,"Stuart","Cable","1970-05-19 00:00:00.000"
12,"Ian","Brown","1963-02-20 00:00:00.000"
12,"John","Squire","1962-11-24 00:00:00.000"
12,"Mani","Mounfield","1962-11-16 00:00:00.000"
12,"Alan","Wren","1964-04-10 00:00:00.000"
14,"Alex","Turner","1986-01-06 00:00:00.000"
14,"Jamie","Cook","1985-07-08 00:00:00.000"
14,"Matt","Helders","1986-05-07 00:00:00.000"
14,"Nick","O'Malley","1985-07-05 00:00:00.000"
15,"Ezro","Koenig","1984-04-08 00:00:00.000"
15,"Rostam","Batmanglij","1983-11-28 00:00:00.000"
15,"Chris","Tomson","1984-03-06 00:00:00.000"
15,"Chris","Baio","1984-10-29 00:00:00.000"
16,"Jez","Williams","1970-02-18 00:00:00.000"
16,"Jimi","Goodwin","1970-05-28 00:00:00.000"
16,"Andy","Williams","1970-02-18 00:00:00.000"
17,"Courtney","Taylor-Taylor","1967-06-20 00:00:00.000"
17,"Peter","Holmstrom","NULL"
17,"Zia","McCabe","1975-06-02 00:00:00.000"
17,"Brent","DeBoer","NULL"
18,"Alex","Kapranos","1972-03-20 00:00:00.000"
18,"Nicholas","McCarthy","1974-12-13 00:00:00.000"
18,"Robert","Hardy","1980-08-16 00:00:00.000"
18,"Paul","Thomson","1976-09-15 00:00:00.000"
19,"Scott","Wilkinson","NULL"
19,"Martin","Noble","1986-01-28 00:00:00.000"
19,"Neil","Wilkinson","1979-06-08 00:00:00.000"
19,"Matthew","Wood","1979-11-28 00:00:00.000"
20,"Matthew","Bellamy","1978-06-09 00:00:00.000"
20,"Christopher","Wolstenholme","1978-12-02 00:00:00.000"
20,"Dominic","Howard","1977-12-07 00:00:00.000"
21,"Thom","Yorke","1968-10-07 00:00:00.000"
21,"Jonny","Greenwood","1971-12-05 00:00:00.000"
21,"Colin","Greenwood","1969-06-26 00:00:00.000"
21,"Ed","O'Brien","1968-04-15 00:00:00.000"
21,"Phil","Selway","1967-05-23 00:00:00.000"
22,"Chris","Martin","1977-03-02 00:00:00.000"
22,"Jonny","Buckland","1977-09-11 00:00:00.000"
22,"Guy","Berryman","1978-04-12 00:00:00.000"
22,"Will","Champion","1978-07-31 00:00:00.000"
24,"Kurt","Cobain","1967-02-20 00:00:00.000"
24,"Krist","Novoselic","1965-05-16 00:00:00.000"
24,"Dave","Grohl","1969-01-14 00:00:00.000"
25,"Eddie","Vedder","1964-12-23 00:00:00.000"
25,"Jeff","Ament","1963-03-10 00:00:00.000"
25,"Stone","Gossard","1966-07-20 00:00:00.000"
25,"Mike","McCready","1966-04-05 00:00:00.000"
25,"Dave","Krusen","1966-03-10 00:00:00.000"
28,"Simon","Neil","1979-08-31 00:00:00.000"
28,"James","Johnston","1980-04-25 00:00:00.000"
28,"Ben","Johnston","1980-04-25 00:00:00.000"
30,"Brandon","Flowers","1981-06-21 00:00:00.000"
30,"Dave","Keuning","1976-03-28 00:00:00.000"
30,"Martin","Stoermer","1977-06-28 00:00:00.000"
30,"Ronnie","Vannucci","1976-02-15 00:00:00.000"
31,"Julian","Casablancas","1978-08-23 00:00:00.000"
31,"Nick","Valensi","1981-01-16 00:00:00.000"
31,"Albert","Hammond","1980-04-09 00:00:00.000"
31,"Nikolai","Fraiture","1978-11-13 00:00:00.000"
31,"Fabrizio","Moretti","1980-06-02 00:00:00.000"
32,"Tom","Meighan","1981-01-11 00:00:00.000"
32,"Christopher","Karloff","NULL"
32,"Sergio","Pizzorno","1980-12-15 00:00:00.000"
32,"Chris","Edwards","1980-12-20 00:00:00.000"
35,"Caleb","Followill","1982-01-14 00:00:00.000"
35,"Nathan","Followill","1979-06-26 00:00:00.000"
35,"Jared","Followill","1986-11-20 00:00:00.000"
35,"Matthew","Followill","1984-09-10 00:00:00.000"
36,"Josh","Homme","1973-05-17 00:00:00.000"
36,"Troy Dean","Van Leeuwen","1968-01-05 00:00:00.000"
36,"Joey","Castillo","1966-03-30 00:00:00.000"
36,"Dean","Fertita","1970-07-06 00:00:00.000"
37,"Nick","Jago","1977-07-19 00:00:00.000"
37,"Peter","Hayes","1976-02-11 00:00:00.000"
37,"Robert","Been","1978-08-22 00:00:00.000"
38,"Nick","Cester","1979-07-06 00:00:00.000"
38,"Chris","Cester","1981-09-16 00:00:00.000"
38,"Cameron","Muncey","1980-02-04 00:00:00.000"
39,"Jim","Reid","1961-12-29 00:00:00.000"
39,"William","Reid","1958-10-28 00:00:00.000"
39,"Douglas","Hart","NULL"
39,"Bobby","Gillespie","1962-06-22 00:00:00.000"
40,"Andy","Bell","1970-08-11 00:00:00.000"
40,"Laurence","Colbert","NULL"
40,"Mark","Gardener","1969-12-06 00:00:00.000"
40,"Steve","Queralt","NULL"
42,"Richard","Ashcroft","1971-09-11 00:00:00.000"
42,"Nick","McCabe","1971-07-14 00:00:00.000"
42,"Simon","Jones","1972-05-29 00:00:00.000"
42,"Peter","Salisbury","1971-09-24 00:00:00.000"
42,"Simon","Tong","1972-07-09 00:00:00.000"
